is_coarse,dose,risk,distance,threshold,randomangle
TRUE,1.1117378313651012,3.8905736402702354e-6,0.1,1,close
TRUE,0.3459813253500503,1.2108920547578263e-6,0.2,1,close
TRUE,0.056801317518918946,1.9880318621806045e-7,0.5,1,close
TRUE,0.012602969367493999,4.411032671187616e-8,1,1,close
TRUE,1.5626242026784145,5.469164723835775e-6,1.0001,1,close
TRUE,0.7001964549544933,2.4506835580994704e-6,1.5,1,close
TRUE,0.3947505404111363,1.3816256126921936e-6,2,1,close
TRUE,0.250994389521715,8.784798421572505e-7,2.5,1,close
TRUE,0.17271953490678607,6.04518127826995e-7,3,1,close
TRUE,0.1274608880121756,4.4611297446920125e-7,3.5,1,close
TRUE,0.09784749723009555,3.42466162017889e-7,4,1,close
TRUE,0.07725355960291436,2.7038741031454537e-7,4.5,1,close
TRUE,0.06311589010673756,2.2090558282673004e-7,5,1,close
TRUE,157.00980482283342,5.493333057196901e-4,0.1,1,far
TRUE,39.0809457452434,1.367707922053811e-4,0.2,1,far
TRUE,6.357570718963379,2.2251167201916498e-5,0.5,1,far
TRUE,1.5982884751207718,5.593988800134028e-6,1,1,far
TRUE,0.012425425790661162,4.348891712143143e-8,1.0001,1,far
TRUE,0.005967101753911538,2.0884842523505296e-8,1.5,1,far
TRUE,0.0031883059356247636,1.1159065899156774e-8,2,1,far
TRUE,0.0018131157622498161,6.345903817853341e-9,2.5,1,far
TRUE,0.0013684700700095022,4.78964445059972e-9,3,1,far
TRUE,0.0012254089153717527,4.2889305901206285e-9,3.5,1,far
TRUE,7.910737548124379e-4,2.768757856748605e-9,4,1,far
TRUE,6.55476014860155e-4,2.2941658804492786e-9,4.5,1,far
TRUE,5.601905892020562e-4,1.960666942944057e-9,5,1,far
FALSE,1.834402004796156,6.4190094090067225e-6,0.1,1,close
FALSE,0.304234378352947,1.0647714986520855e-6,0.2,1,close
FALSE,0.18429150561476115,6.45009522900086e-7,0.30000000000000004,1,close
FALSE,0.09110229144466456,3.1885435797628457e-7,0.4,1,close
FALSE,0.04521685161613357,1.5825844037779694e-7,0.5,1,close
FALSE,0.037209937540765965,1.3023436457974992e-7,0.6,1,close
FALSE,0.023243533141043597,8.135211039158812e-8,0.7000000000000001,1,close
FALSE,0.024566570526953664,8.598270635557778e-8,0.8,1,close
FALSE,0.013932311935095977,4.8763030450264035e-8,0.9,1,close
FALSE,0.015319194555131225,5.361711721240072e-8,1,1,close
FALSE,1.3265813841785452,4.643020276626519e-6,1.1,1,close
FALSE,1.0712204609311482,3.749262436751408e-6,1.2000000000000002,1,close
FALSE,0.9372354279481907,3.280316691955327e-6,1.3000000000000003,1,close
FALSE,0.7847238481702852,2.746528439496044e-6,1.4000000000000001,1,close
FALSE,0.6983310838223585,2.444154853986669e-6,1.5000000000000002,1,close
FALSE,0.6193571697153424,2.167746888547728e-6,1.6,1,close
FALSE,0.5349702900193576,1.8723936975155874e-6,1.7000000000000002,1,close
FALSE,0.48482550525769097,1.6968873687329632e-6,1.8000000000000003,1,close
FALSE,0.4380844188977111,1.5332938593725576e-6,1.9000000000000001,1,close
FALSE,0.39065087457146924,1.367276789357211e-6,2,1,close
