Days,Risktest
0,0.011224035
1,0.011223676
2,0.011117344
3,0.010322314
4,2.94E-05
5,1.79E-05
6,1.37E-05
7,1.06E-05
8,8.58E-06
9,7.22E-06
10,6.29E-06
11,5.68E-06
12,5.21E-06
13,3.68E-06
14,2.57E-06
15,1.68E-06
16,1.05E-06
17,6.48E-07
18,3.95E-07
19,2.39E-07
20,1.46E-07
21,8.98E-08
22,2.12E-05
23,1.31E-05
24,8.24E-06
25,5.10E-06
26,3.20E-06
27,2.04E-06
28,1.31E-06
